Date,Price,Open,High,Low,,
22-Jun-22,"2,528.00","2,509.00","2,528.00","2,464.00",,
21-Jun-22,"2,533.50","2,526.00","2,530.00","2,526.00",,
20-Jun-22,"2,527.00","2,488.00","2,482.00","2,481.00",,
17-Jun-22,"2,498.00","2,500.00","2,500.00","2,500.00",,
16-Jun-22,"2,504.50","2,535.00","2,529.00","2,525.00",,
15-Jun-22,"2,592.50","2,600.00","2,594.00","2,593.50",,
14-Jun-22,"2,570.00","2,615.00","2,610.00","2,610.00",,
13-Jun-22,"2,628.00","2,608.00","2,607.00","2,606.00",,
10-Jun-22,"2,680.00","2,705.00","2,710.00","2,705.00",,
9-Jun-22,"2,761.00","2,785.00","2,788.00","2,785.00",,
8-Jun-22,"2,819.00","2,798.00","2,797.00","2,798.00",,
7-Jun-22,"2,778.50","2,755.00","2,745.00","2,745.00",,
6-Jun-22,"2,782.50","2,783.00","2,781.00","2,774.00",,
1-Jun-22,"2,726.00","2,740.00","2,730.00","2,728.00",,
31-May-22,"2,787.00","2,855.00","2,853.00","2,850.00",,
30-May-22,"2,888.50","2,891.00","2,890.00","2,891.00",,
27-May-22,"2,871.50","2,855.00","2,845.00","2,847.00",,
26-May-22,"2,865.00","2,876.00","2,856.00","2,857.00",,
25-May-22,"2,874.00","2,858.00","2,857.50","2,857.00",,
24-May-22,"2,901.50","2,907.00","2,907.00","2,907.00",,
23-May-22,"2,956.00","2,975.00","2,973.00","2,975.00",,
20-May-22,"2,946.00","2,958.00","2,953.00","2,935.00",,
19-May-22,"2,906.50","2,850.00","2,840.00","2,840.00",,
18-May-22,"2,857.50","2,878.00","2,873.00","2,875.00",,
17-May-22,"2,890.50","2,865.00","2,862.00","2,858.00",,
16-May-22,"2,832.00","2,814.00","2,820.00","2,814.00",,
13-May-22,"2,788.00","2,763.00","2,758.00","2,750.00",,
12-May-22,"2,742.00","2,723.00","2,722.00","2,723.00",,
11-May-22,"2,778.00","2,770.00","2,770.00","2,770.00",,
10-May-22,"2,753.50","2,715.00","2,713.00","2,715.00",,
9-May-22,"2,755.00","2,754.00","2,750.00","2,750.00",,
6-May-22,"2,842.00","2,875.00","2,868.00","2,870.00",,
5-May-22,"2,916.00","2,948.00","2,946.00","2,947.00",,
4-May-22,"2,953.00","2,960.00","2,961.50","2,960.00",,
3-May-22,"2,911.00","2,945.00","2,945.00","2,945.00",,
29-Apr-22,"3,052.50","3,050.00","3,043.00","3,044.00",,
28-Apr-22,"3,031.50","3,088.00","3,083.00","3,083.00",,
27-Apr-22,"3,093.50","3,110.00","3,115.00","3,110.00",,
26-Apr-22,"3,064.50","3,122.00","3,117.00","3,117.00",,
25-Apr-22,"3,095.00","3,156.00","3,184.00","3,062.00",,
22-Apr-22,"3,245.50","3,265.00","3,259.00","3,260.00",,
21-Apr-22,"3,298.00","3,283.00","3,275.50","3,275.50",,
20-Apr-22,"3,269.00","3,250.00","3,250.00","3,250.00",,
19-Apr-22,"3,261.00","3,327.00","3,325.00","3,325.00",,
14-Apr-22,"3,285.50","3,275.00","3,270.00","3,265.00",,
13-Apr-22,"3,236.00","3,240.00","3,237.50","3,238.00",,
12-Apr-22,"3,267.00","3,245.00","3,244.00","3,245.00",,
11-Apr-22,"3,248.00","3,251.00","3,249.00","3,251.00",,
8-Apr-22,"3,374.50","3,423.00","3,422.00","3,423.00",,
7-Apr-22,"3,385.00","3,380.00","3,372.00","3,374.00",,
6-Apr-22,"3,441.00","3,462.00","3,466.00","3,460.00",,
5-Apr-22,"3,465.00","3,445.00","3,440.00","3,441.00",,
4-Apr-22,"3,447.00","3,487.00","3,481.00","3,461.00",,
1-Apr-22,"3,450.00","3,499.00","3,497.00","3,499.00",,
31-Mar-22,"3,491.00","3,525.00","3,518.00","3,518.00",,
30-Mar-22,"3,551.00","3,530.00","3,526.00","3,527.00",,
29-Mar-22,"3,436.00","3,610.00","3,606.00","3,608.00",,
28-Mar-22,"3,614.00","3,615.00","3,615.50","3,615.00",,
25-Mar-22,"3,605.00","3,600.00","3,595.00","3,590.50",,
24-Mar-22,"3,623.50","3,677.00","3,675.00","3,675.50",,
23-Mar-22,"3,653.00","3,560.00","3,558.00","3,560.00",,
22-Mar-22,"3,504.50","3,570.00","3,553.00","3,550.50",,
21-Mar-22,"3,521.00","3,502.00","3,524.00","3,502.00",,
18-Mar-22,"3,381.00","3,400.50","3,399.50","3,400.00",,
17-Mar-22,"3,384.50","3,317.00","3,315.00","3,317.00",,
16-Mar-22,"3,258.50","3,327.00","3,325.00","3,327.00",,
15-Mar-22,"3,277.50","3,276.00","3,274.00","3,254.00",,
14-Mar-22,"3,319.50","3,413.00","3,410.00","3,411.00",,
11-Mar-22,"3,483.00","3,437.00","3,500.00","3,437.00",,
10-Mar-22,"3,427.50","3,530.00","3,531.00","3,530.00",,
9-Mar-22,"3,341.00","3,522.00","3,533.00","3,522.00",,
8-Mar-22,"3,498.00","3,516.00","3,514.00","3,516.00",,
7-Mar-22,"3,740.00","3,968.00","3,966.00","3,968.00",,
4-Mar-22,"3,849.00","3,804.00","3,819.00","3,804.00",,
3-Mar-22,"3,716.50","3,704.00","3,703.50","3,704.00",,
2-Mar-22,"3,569.00","3,566.00","3,568.00","3,566.00",,
1-Mar-22,"3,478.00","3,463.00","3,462.00","3,463.00",,
28-Feb-22,"3,368.50","3,415.00","3,445.00","3,414.00",,
25-Feb-22,"3,357.50","3,314.00","3,312.00","3,314.00",,
24-Feb-22,"3,394.50","3,425.00","3,443.00","3,425.00",,
23-Feb-22,"3,292.50","3,285.00","3,288.00","3,285.00",,
22-Feb-22,"3,303.00","3,326.00","3,366.00","3,326.00",,
21-Feb-22,"3,279.50","3,272.00","3,270.00","3,269.00",,
18-Feb-22,"3,262.50","3,261.00","3,263.00","3,261.00",,
17-Feb-22,"3,268.00","3,254.00","3,252.00","3,241.00",,
16-Feb-22,"3,256.00","3,242.00","3,240.00","3,242.00",,
15-Feb-22,"3,208.00","3,200.00","3,194.00","3,195.00",,
14-Feb-22,"3,214.50","3,186.00","3,305.00","3,186.00",,
11-Feb-22,"3,136.50","3,183.00","3,179.00","3,180.00",,
10-Feb-22,"3,250.50","3,290.00","3,286.00","3,286.00",,
9-Feb-22,"3,266.00","3,225.50","3,225.00","3,225.50",,
8-Feb-22,"3,183.00","3,205.00","3,194.50","3,195.00",,
7-Feb-22,"3,132.00","3,115.00","3,110.50","3,110.50",,
4-Feb-22,"3,074.00","3,065.00","3,063.00","3,065.00",,
3-Feb-22,"3,050.00","3,035.00","3,033.00","3,035.00",,
2-Feb-22,"2,986.00","3,028.00","3,026.00","3,028.00",,
1-Feb-22,"3,032.50","3,049.00","3,048.00","3,049.00",,
31-Jan-22,"3,021.00","3,052.00","3,050.00","3,052.00",,
28-Jan-22,"3,082.50","3,100.00","3,085.00","3,085.00",,
27-Jan-22,"3,098.50","3,099.00","3,095.00","3,096.00",,
26-Jan-22,"3,094.00","3,082.00","3,079.50","3,079.50",,
25-Jan-22,"3,092.00","3,070.00","3,062.00","3,061.00",,
24-Jan-22,"3,028.50","3,031.00","3,030.00","3,031.00",,
21-Jan-22,"3,040.50","3,062.00","3,060.00","3,060.50",,
20-Jan-22,"3,111.00","3,080.00","3,080.00","3,080.00",,
19-Jan-22,"3,050.50","3,035.00","3,027.00","3,027.00",,
18-Jan-22,"3,024.50","3,008.00","3,005.50","3,005.50",,
17-Jan-22,"2,997.00","2,990.00","2,994.00","2,990.00",,
14-Jan-22,"2,976.50","2,983.00","2,980.00","2,980.00",,
13-Jan-22,"2,952.00","2,978.00","2,970.00","2,970.00",,
12-Jan-22,"2,982.50","3,014.00","3,012.00","3,014.00",,
11-Jan-22,"2,970.00","2,962.00","2,960.00","2,962.00",,
10-Jan-22,"2,931.50","2,940.00","2,934.00","2,934.50",,
7-Jan-22,"2,914.50","2,933.00","2,930.00","2,932.00",,
6-Jan-22,"2,921.50","2,928.00","2,923.00","2,923.50",,
